Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
128421,07/16/2006 08:51:50 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10314,,,,,MARTIN AVENUE,NORTH GANNON AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Pending,08/15/2006 08:51:50 PM,08/07/2006 12:03:27 AM,01 STATEN ISLAND,STATEN ISLAND,945384,160872,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.608147601682944,-74.13997557124674,"(40.608147601682944, -74.13997557124674)"
119630,06/07/2006 10:36:38 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10308,60 WILLIAMS AVENUE,WILLIAMS AVENUE,KING STREET,DRIGGS STREET,,,ADDRESS,STATEN ISLAND,,N/A,Pending,07/07/2006 10:36:38 AM,06/29/2006 12:02:25 AM,03 STATEN ISLAND,STATEN ISLAND,942218,135870,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.539507663552534,-74.15122242465318,"(40.539507663552534, -74.15122242465318)"
116856,05/22/2006 09:29:27 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10309,932 LAMONT AVENUE,LAMONT AVENUE,FOSTER ROAD,LENEVAR AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,06/21/2006 09:29:27 AM,06/13/2006 12:04:25 AM,03 STATEN ISLAND,STATEN ISLAND,927208,134505,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.53567718073121,-74.20521361722918,"(40.53567718073121, -74.20521361722918)"
119954,06/07/2006 10:27:53 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10308,60 WILLIAM AVENUE,WILLIAM AVENUE,KING STREET,DRIGGS STREET,,,ADDRESS,STATEN ISLAND,,N/A,Pending,07/07/2006 10:27:53 AM,06/29/2006 12:02:27 AM,03 STATEN ISLAND,STATEN ISLAND,942218,135870,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.539507663552534,-74.15122242465318,"(40.539507663552534, -74.15122242465318)"
125077,06/27/2006 03:22:56 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10310,16 CAROLINE STREET,CAROLINE STREET,CASTLETON AVENUE,CARY AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,07/27/2006 03:22:56 PM,07/19/2006 12:04:12 AM,01 STATEN ISLAND,STATEN ISLAND,951111,170202,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63377975103112,-74.11939565641008,"(40.63377975103112, -74.11939565641008)"
124570,06/30/2006 02:11:14 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10304,61 CANAL STREET,CANAL STREET,SI RAPID TRANSIT,BAY STREET,,,ADDRESS,STATEN ISLAND,,N/A,Pending,07/30/2006 02:11:14 PM,07/22/2006 12:03:10 AM,01 STATEN ISLAND,STATEN ISLAND,963334,167609,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62669981120546,-74.07534971402403,"(40.62669981120546, -74.07534971402403)"
127968,07/14/2006 02:32:54 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10301,118 YORK AVENUE,YORK AVENUE,BUCHANAN STREET,BEND,,,ADDRESS,STATEN ISLAND,,N/A,Pending,08/13/2006 02:32:54 PM,08/05/2006 12:03:16 AM,01 STATEN ISLAND,STATEN ISLAND,959879,173919,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.64401057956228,-74.08781910399999,"(40.64401057956228, -74.08781910399999)"
398587,02/15/2006 05:01:00 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10306, GUYON AVENUE,GUYON AVENUE,AMBOY ROAD,NORTH RAILROAD AVENUE,,,BLOCKFACE,STATEN ISLAND,,N/A,Pending,03/17/2006 05:01:00 PM,03/09/2006 12:01:49 AM,03 STATEN ISLAND,STATEN ISLAND,948274,145177,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.56508020404709,-74.12948372221341,"(40.56508020404709, -74.12948372221341)"
411613,04/08/2006 05:05:00 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,10306, ST ANDREWS ROAD,ST ANDREWS ROAD,MCCULLY AVENUE,HITCHCOCK AVENUE,,,BLOCKFACE,STATEN ISLAND,,N/A,Pending,05/08/2006 05:05:00 PM,04/30/2006 12:02:14 AM,02 STATEN ISLAND,STATEN ISLAND,947899,149029,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.57565165159604,-74.13085411902873,"(40.57565165159604, -74.13085411902873)"
146624,09/26/2006 03:23:47 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,10302,1411 FOREST AVENUE,FOREST AVENUE,BARRETT AVENUE,ELDRIDGE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,10/26/2006 03:23:47 PM,10/18/2006 12:06:02 AM,01 STATEN ISLAND,STATEN ISLAND,946507,167002,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6249780156279,-74.13596537015337,"(40.6249780156279, -74.13596537015337)"
161859,12/09/2006 08:15:28 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10306,,,,,LINCOLN AVENUE,MASON AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Pending,01/08/2007 08:15:28 AM,12/31/2006 12:02:33 AM,02 STATEN ISLAND,STATEN ISLAND,956870,148416,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.57400133222469,-74.09855840778116,"(40.57400133222469, -74.09855840778116)"
148475,10/03/2006 11:19:15 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10306,2971 HYLAN BOULEVARD,HYLAN BOULEVARD,ISABELLA AVENUE,GUYON AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,11/02/2006 11:19:15 AM,10/25/2006 12:03:14 AM,03 STATEN ISLAND,STATEN ISLAND,951081,143699,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.56103432797527,-74.11937361717021,"(40.56103432797527, -74.11937361717021)"
152355,10/26/2006 03:08:36 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10302,62 INNIS STREET,INNIS STREET,TRANTOR PLACE,JOHN STREET,,,ADDRESS,STATEN ISLAND,,N/A,Pending,11/25/2006 03:08:36 AM,11/17/2006 12:05:07 AM,01 STATEN ISLAND,STATEN ISLAND,944490,170254,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63389523507842,-74.14325055553556,"(40.63389523507842, -74.14325055553556)"
143267,09/12/2006 03:30:23 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,10305,457 LIBERTY AVENUE,LIBERTY AVENUE,MASON AVENUE,NUGENT AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,10/12/2006 03:30:23 PM,10/04/2006 12:03:58 AM,02 STATEN ISLAND,STATEN ISLAND,959980,151771,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.58321920051411,-74.08737555148682,"(40.58321920051411, -74.08737555148682)"
456861,08/24/2006 10:17:42 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10314,1150 SOUTH AVENUE,SOUTH AVENUE,FAHY AVENUE,EDWARD CURRY AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,09/23/2006 10:17:42 AM,09/15/2006 12:07:29 AM,02 STATEN ISLAND,STATEN ISLAND,935283,162038,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.611297965520656,-74.17636260406877,"(40.611297965520656, -74.17636260406877)"
457185,08/24/2006 06:15:57 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,10310,38 MORRISON AVENUE,MORRISON AVENUE,HART AVENUE,LAWRENCE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,09/23/2006 06:15:57 PM,09/15/2006 12:07:28 AM,01 STATEN ISLAND,STATEN ISLAND,954582,168466,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62902710723069,-74.10688246074776,"(40.62902710723069, -74.10688246074776)"
472798,10/05/2006 01:50:11 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10305, DONGAN HILLS AVENUE,DONGAN HILLS AVENUE,NUGENT AVENUE,OLYMPIA BOULEVARD,,,BLOCKFACE,STATEN ISLAND,,N/A,Pending,11/04/2006 01:50:11 PM,10/27/2006 12:04:30 AM,02 STATEN ISLAND,STATEN ISLAND,960037,151024,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.5811689902868,-74.08716766716101,"(40.5811689902868, -74.08716766716101)"
163797,12/18/2006 06:52:01 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10309,1043 RATHBUN AVENUE,RATHBUN AVENUE,MINTURN AVENUE,MAGUIRE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,01/17/2007 06:52:01 PM,01/09/2007 12:02:16 AM,03 STATEN ISLAND,STATEN ISLAND,925580,134637,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.536028877143394,-74.21107161246807,"(40.536028877143394, -74.21107161246807)"
164791,12/28/2006 10:36:24 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,10314,1710 VICTORY BOULEVARD,VICTORY BOULEVARD,BEECHWOOD PLACE,SOMMERS LANE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,01/27/2007 10:36:24 AM,01/19/2007 12:02:05 AM,01 STATEN ISLAND,STATEN ISLAND,950759,162712,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.61321996344915,-74.12062670593158,"(40.61321996344915, -74.12062670593158)"
401605,03/05/2006 11:21:35 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10309,7 CLEARMONT AVENUE,CLEARMONT AVENUE,ALBOURNE AVENUE,UNCAS AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,04/04/2006 11:21:35 AM,03/27/2006 12:02:02 AM,03 STATEN ISLAND,STATEN ISLAND,926549,131801,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.528250963202424,-74.20756136879199,"(40.528250963202424, -74.20756136879199)"
401608,03/04/2006 04:56:13 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10312,,,,,OAKDALE STREET,THORNYCROFT AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Pending,04/03/2006 04:56:13 PM,03/26/2006 12:02:10 AM,03 STATEN ISLAND,STATEN ISLAND,939726,137077,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.54280848748737,-74.16019604627675,"(40.54280848748737, -74.16019604627675)"
313449,09/25/2006 10:39:48 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10309,6000 AMBOY ROAD,AMBOY ROAD,PUMONE COURT,CLEARMONT AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,10/25/2006 10:39:48 AM,10/17/2006 12:02:22 AM,03 STATEN ISLAND,STATEN ISLAND,926679,130725,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.52529839524271,-74.20708458581149,"(40.52529839524271, -74.20708458581149)"
486709,11/18/2006 03:28:11 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10306,598 MILL ROAD,MILL ROAD,CARMELLA COURT,FOX BEACH AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,12/18/2006 03:28:11 PM,12/10/2006 12:05:57 AM,03 STATEN ISLAND,STATEN ISLAND,951747,141427,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.55480059603408,-74.11696580021452,"(40.55480059603408, -74.11696580021452)"
975648,02/16/2006 09:01:26 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10306, BEDFORD AVENUE,BEDFORD AVENUE,HUSSON STREET,HYLAN BOULEVARD,,,BLOCKFACE,STATEN ISLAND,,N/A,Pending,03/18/2006 09:01:26 PM,03/10/2006 12:01:51 AM,02 STATEN ISLAND,STATEN ISLAND,955712,150309,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.57919358972534,-74.10273479002173,"(40.57919358972534, -74.10273479002173)"
1007330,04/23/2006 09:34:59 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10303,,,,,MAPLE PARKWAY,LINDEN AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Pending,05/23/2006 09:34:59 AM,05/24/2006 05:54:11 PM,01 STATEN ISLAND,STATEN ISLAND,940860,170191,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.633705276178134,-74.15632858251745,"(40.633705276178134, -74.15632858251745)"
1008428,04/21/2006 01:20:18 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10314, RICHMOND AVENUE,RICHMOND AVENUE,CARNEGIE AVENUE,SIGNS ROAD,,,BLOCKFACE,STATEN ISLAND,,N/A,Pending,05/21/2006 01:20:18 PM,05/24/2006 05:54:03 PM,02 STATEN ISLAND,STATEN ISLAND,939018,159018,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.60302855080987,-74.16289020101082,"(40.60302855080987, -74.16289020101082)"
1040966,06/20/2006 12:02:49 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10304,582 BAY STREET,BAY STREET,CROSS STREET,WATER STREET,,,ADDRESS,STATEN ISLAND,,N/A,Pending,07/20/2006 12:02:49 PM,07/12/2006 12:04:09 AM,01 STATEN ISLAND,STATEN ISLAND,963115,167894,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62748155622835,-74.07613955170282,"(40.62748155622835, -74.07613955170282)"
421890,05/18/2006 06:11:30 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10303,1785 FOREST AVENUE,FOREST AVENUE,WILLOW ROAD WEST,MORNINGSTAR ROAD,,,ADDRESS,STATEN ISLAND,,N/A,Pending,06/17/2006 06:11:30 PM,06/09/2006 12:03:26 AM,01 STATEN ISLAND,STATEN ISLAND,943073,167042,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62507251143908,-74.1483362319138,"(40.62507251143908, -74.1483362319138)"
447257,08/04/2006 10:45:06 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10306,369 HAMDEN AVENUE,HAMDEN AVENUE,LACONIA AVENUE,IDLEASE PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,09/03/2006 10:45:06 AM,08/19/2006 12:06:06 AM,02 STATEN ISLAND,STATEN ISLAND,957099,149651,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.577391866894125,-74.09773904895877,"(40.577391866894125, -74.09773904895877)"
393227,09/22/2006 11:47:35 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,10306,776 NEW DORP LANE,NEW DORP LANE,ROMA AVENUE,CEDAR GROVE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,10/22/2006 11:47:35 AM,10/14/2006 12:01:36 AM,02 STATEN ISLAND,STATEN ISLAND,956876,145103,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.564907816888486,-74.0985233967604,"(40.564907816888486, -74.0985233967604)"
420852,05/15/2006 10:16:52 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10306,15 WINDEMERE AVENUE,WINDEMERE AVENUE,NORTH RAILROAD AVENUE,RIEDEL AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,06/14/2006 10:16:52 AM,06/06/2006 12:04:31 AM,03 STATEN ISLAND,STATEN ISLAND,948497,144839,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.5641533624681,-74.12867932151991,"(40.5641533624681, -74.12867932151991)"
