CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5014123,08/19/2015 01:24:31 PM,08/24/2015 02:29:39 PM,08/24/2015 02:29:39 PM,Closed,"Case Transferred - Hotels & Emergency Shelers, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"948 MISSION ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.781952404938, -122.407737734543)",Voice In,
5010015,08/18/2015 11:53:22 AM,08/19/2015 09:02:02 AM,08/19/2015 09:02:02 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2578 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755678089762, -122.418968464191)",Web Self Service,
5009543,08/18/2015 10:01:39 AM,08/18/2015 04:26:06 PM,08/18/2015 04:26:06 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2598 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755653868748, -122.419343627792)",Web Self Service,
5009487,08/18/2015 09:46:43 AM,08/18/2015 03:53:31 PM,08/18/2015 03:53:31 PM,Closed,"Case Transferred - Healthy Housing & Vector 
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,Intersection of MISSION ST and 22ND ST,9,Mission,"(37.7554369160237, -122.418747688955)",Web Self Service,
5009428,08/18/2015 09:32:07 AM,08/18/2015 03:41:37 PM,08/18/2015 03:41:37 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2578 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755678089762, -122.418968464191)",Web Self Service,
5009343,08/18/2015 09:16:27 AM,08/18/2015 03:39:52 PM,08/18/2015 03:39:52 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"45 BARTLETT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.756248179814, -122.419872882327)",Web Self Service,
5009010,08/18/2015 07:48:15 AM,08/18/2015 03:24:58 PM,08/18/2015 03:24:58 PM,Closed,"Case Transferred - Hotels & Emergency Shelters Program, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"608 OFARRELL ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,"(37.785687483832, -122.414901330516)",Web Self Service,
5008222,08/17/2015 07:29:30 PM,08/18/2015 02:42:50 PM,08/18/2015 02:42:50 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2915 JUDAH ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.760836517551, -122.493419342504)",Web Self Service,
5007702,08/17/2015 04:25:01 PM,08/18/2015 02:14:07 PM,08/18/2015 02:14:07 PM,Closed,"Case Transferred - Hotels & Emergency Shelters Program, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"125 6TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.780856935758, -122.408056353633)",Voice In,
5007620,08/17/2015 04:14:41 PM,08/18/2015 02:11:57 PM,08/18/2015 02:11:57 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH\
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2233 DIVISADERO ST, SAN FRANCISCO, CA, 94115",2,Pacific Heights,"(37.790440743914, -122.441082850175)",Voice In,
5006591,08/17/2015 12:45:46 PM,08/18/2015 11:47:35 AM,08/18/2015 11:47:35 AM,Closed,Case is a Duplicate - same as Service Request #5001969,DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"948 MISSION ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.781952404938, -122.407737734543)",Voice In,
5001969,08/15/2015 06:02:41 PM,08/18/2015 11:06:48 AM,08/18/2015 11:06:48 AM,Closed,"Case Transferred - Hotels & Emergency Shelters, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"948 MISSION ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.781952404938, -122.407737734543)",Voice In,
5000355,08/15/2015 02:14:59 AM,08/17/2015 10:48:08 AM,08/17/2015 10:48:08 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"900 FOLSOM ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.779999957134, -122.403952084935)",Web Self Service,
4998743,08/14/2015 01:01:39 PM,08/14/2015 02:01:50 PM,08/14/2015 02:01:50 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1000 HOWARD ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.779642239398, -122.407507022668)",Web Self Service,
4993780,08/12/2015 10:57:35 PM,08/14/2015 10:40:59 AM,08/14/2015 10:40:59 AM,Closed,"Case Transferred - Pesticide Use Enforcement Program, DPH
 Phil Calhoun, Industrial Hygienist
 415-252-3862",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1312 UTAH ST, SAN FRANCISCO, CA, 94110",10,Potrero Hill,"(37.752822408664, -122.405531841168)",Voice In,
4992153,08/12/2015 12:38:12 PM,08/13/2015 01:23:13 PM,08/13/2015 01:23:13 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2598 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755653868748, -122.419343627792)",Web Self Service,
4982739,08/10/2015 08:44:08 AM,08/11/2015 03:47:36 PM,08/11/2015 03:47:36 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"750 LARKIN ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,"(37.784845547871, -122.417693882774)",Web Self Service,
4975492,08/07/2015 09:41:30 AM,08/10/2015 02:08:41 PM,08/10/2015 02:08:41 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"48 6TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.781404323912, -122.409507076511)",Web Self Service,
4971867,08/05/2015 10:25:48 PM,08/07/2015 02:50:33 PM,08/07/2015 02:50:33 PM,Closed,"Case Transferred - Hotels & Emergency Shelters, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2048 POLK ST, SAN FRANCISCO, CA, 94109",3,Polk Gulch,"(37.795677558009, -122.421497527012)",Web Self Service,
4971243,08/05/2015 05:17:04 PM,08/07/2015 02:47:30 PM,08/07/2015 02:47:30 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"948 MISSION ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.781952404938, -122.407737734543)",Voice In,
4963569,08/03/2015 12:53:16 PM,08/07/2015 11:38:44 AM,08/07/2015 11:38:44 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"410 SHRADER ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,"(37.770847259231, -122.452005493066)",Web Self Service,
4963444,08/03/2015 12:23:56 PM,08/07/2015 11:21:06 AM,08/07/2015 11:21:06 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"870 BROADWAY, SAN FRANCISCO, CA, 94133",3,Russian Hill,"(37.797421895488, -122.41152193404)",Web Self Service,
4961201,08/02/2015 04:34:37 PM,08/04/2015 11:52:48 AM,08/04/2015 11:52:48 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2578 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755678089762, -122.418968464191)",Web Self Service,
4961198,08/02/2015 04:32:58 PM,08/04/2015 12:46:31 PM,08/04/2015 12:46:31 PM,Closed,"Case Transferred - Consumer Protection, Food
 Safety Program, DPH
 415-252-3804",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2598 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755653868748, -122.419343627792)",Web Self Service,
4960828,08/02/2015 01:05:42 PM,08/04/2015 11:07:41 AM,08/04/2015 11:07:41 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"445 OFARRELL ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,"(37.785768399091, -122.411989342943)",Voice In,
4959330,08/01/2015 01:36:17 PM,08/03/2015 04:22:14 PM,08/03/2015 04:22:14 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1312 UTAH ST, SAN FRANCISCO, CA, 94110",10,Potrero Hill,"(37.752822408664, -122.405531841168)",Voice In,
4956005,07/31/2015 08:31:55 AM,08/03/2015 02:45:30 PM,08/03/2015 02:45:30 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"22 MUSEUM WAY, SAN FRANCISCO, CA, 94114",8,Corona Heights,"(37.764952042764, -122.441006728711)",Voice In,
4948720,07/28/2015 08:38:48 PM,07/31/2015 11:45:00 AM,07/31/2015 11:45:00 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program,DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2598 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755653868748, -122.419343627792)",Web Self Service,
4948563,07/28/2015 06:45:20 PM,07/31/2015 11:42:49 AM,07/31/2015 11:42:49 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2598 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755653868748, -122.419343627792)",Web Self Service,
4943847,07/27/2015 01:27:46 PM,07/31/2015 11:10:27 AM,07/31/2015 11:10:27 AM,Closed,"Case Transferred - Hotels & Shelters Program, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"125 6TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.780856935758, -122.408056353633)",Voice In,
4937603,07/24/2015 04:07:29 PM,07/27/2015 10:39:18 AM,07/27/2015 10:39:18 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"252 BURROWS ST, SAN FRANCISCO, CA, 94134",9,Portola,"(37.728530044605, -122.406006285707)",Voice In,
4924571,07/20/2015 02:05:24 PM,07/22/2015 12:39:52 PM,07/22/2015 12:39:52 PM,Closed,"Case Transferred - Hotels & Shelters Program, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"125 6TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.780856935758, -122.408056353633)",Voice In,
4923077,07/20/2015 08:42:48 AM,07/23/2015 11:12:04 AM,07/23/2015 11:12:04 AM,Closed,"Case Transferred - Hotels & Emergency Shelters, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"440 EDDY ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,"(37.783746422675, -122.414929924235)",Voice In,
4912637,07/15/2015 10:30:56 PM,07/20/2015 04:22:06 PM,07/20/2015 04:22:06 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"809 STOCKTON ST, SAN FRANCISCO, CA, 94108",3,Nob Hill,"(37.793356392206, -122.408016576712)",Voice In,
4910036,07/15/2015 09:01:22 AM,07/20/2015 09:41:20 AM,07/20/2015 09:41:20 AM,Closed,Case is a Duplicate - same as Service Request #4909983,DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1848 25TH AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.752999731006, -122.482673423494)",Web Self Service,
4909983,07/15/2015 08:48:44 AM,07/20/2015 09:35:10 AM,07/20/2015 09:35:10 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1848 25TH AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.752999731006, -122.482673423494)",Web Self Service,
4899176,07/10/2015 05:34:36 PM,07/17/2015 11:20:27 AM,07/17/2015 11:20:27 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1848 25TH AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.752999731006, -122.482673423494)",Web Self Service,
4894905,07/09/2015 11:38:42 AM,07/17/2015 09:52:40 AM,07/17/2015 09:52:40 AM,Closed,"Case Transferred - Healthy Housing & Vectpr Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1201 PINE ST, SAN FRANCISCO, CA, 94109",2,Lower Pacific Heights,"(37.786650989674, -122.443436403763)",Web Self Service,
